Class,Accuracy,Support
Zotye T600,0.8333333333333334,12
Zotye V10,0.5,10
Zotye Z100,0.5,30
Zotye Z200,0.45454545454545453,22
Zotye Z200HB,0.4074074074074074,27
Zotye Z300,0.875,16
Zhidou E20,0.8260869565217391,23
Power Daily,0.3333333333333333,3
Duling,0.15384615384615385,13
Turbo Daily,0.3888888888888889,18
Campagnola,0.0,3
Massif,0.7222222222222222,18
La Joya,0.8888888888888888,9
Boxster,0.4782608695652174,23
Macan,0.0,3
Panamera,1.0,2
Panamera hybrid,0.6666666666666666,30
Porsche 911,0.3333333333333333,6
Porsche 918,0.2727272727272727,11
Canyenne,0.9090909090909091,22
Canyenne hybrid,0.0,1
Carrera GT,0.2857142857142857,7
Porsche 917,0.8571428571428571,7
Porsche 919,0.5555555555555556,9
Cayman,0.8571428571428571,7
Galue,1.0,1
Orochi,0.7083333333333334,24
Himiko,0.8571428571428571,21
Town,0.25,4
Chrysler  200C,0.0,1
Prowler,0.25,4
Chrysler 200,0.0,4
Chrysler Delta,0.5,6
Chrysler Ypsilon,0.6666666666666666,12
Chrysler 700C,0.0,2
Chrysler 300C SRT,0.75,28
Chrysler 300C,0.36363636363636365,11
Grand Voager,0.7647058823529411,17
Aventador,0.058823529411764705,17
Reventon,0.75,12
Insecta,0.4,5
Estoque,0.6,5
Gallardo,0.0,5
Urus,0.42857142857142855,14
Veneno,0.0,7
Egoista,0.09090909090909091,11
5-95 Zagato,0.7407407407407407,27
Huracan,0.0,5
 Hector,0.2857142857142857,7
Seville SLS,0.0,7
Cadillac XTS,0.9,20
Cadillac CTS,0.625,16
Cadillac ATS,0.7727272727272727,22
Cadillac SRX,0.6153846153846154,26
Escalade,0.375,24
Escalade hybrid,0.9090909090909091,22
Cadillac BLS,0.5,18
Cadillac ELR,0.6923076923076923,26
Cadillac Ciel,0.55,20
Elmiraj,0.5714285714285714,21
encore,0.5652173913043478,23
Buick GL8 Luxury Business,0.0,7
Buick GL8 Business,0.6956521739130435,23
Regal,0.6956521739130435,23
Regal GS,0.5,28
Lacrosse,0.0,7
Lacrosse eAssist,0.6666666666666666,18
Exclle,0.2222222222222222,9
Park Avenue,0.4782608695652174,23
EXCELLE  GT,0.0,2
EXCELLE  XT,0.7407407407407407,27
Buick Riviera,0.5238095238095238,21
Envision,0.0,5
Enclave,0.8636363636363636,22
Buick Encore,0.9166666666666666,24
Buick Business,0.75,4
Buick Verano,0.1111111111111111,9
Envision abroad version,0.5833333333333334,12
Fengshun,0.4,10
Lifan 330,0.4444444444444444,9
Lifan 521i,0.6153846153846154,26
Lifan 530,0.5416666666666666,24
Lifan 620,0.6190476190476191,21
Lifan 630,0.0,5
Lifan 720,0.7307692307692307,26
